term,doc_freq,total,source_fields,gene_ids
reverse transcriptase,39,86,RELATED locus_synonym,LOC103635930 (tpzm:0004220); mkkk22 (tpzm:0016489)
hydrolase,37,168,RELATED locus_synonym,IDP7290 (tpzm:0002175); apy14 (tpzm:0009118); npi252 (tpzm:0017655)
rg,37,74,EXACT locus_synonym,rgd1 (tpzm:0021108)
ks,36,48,EXACT locus_synonym,tps1 (tpzm:0023166)
p2,35,777,EXACT jschnable_name; EXACT locus; NAME (gene symbol); RELATED locus_synonym,Zm00001d007055 (tpzm:0005476); Zm00001d009657 (tpzm:0005576); arpp2a (tpzm:0009251); arpp2a-2 (tpzm:0009252); arpp2a-3 (tpzm:0009253); p2 (tpzm:0017954)
gst,35,306,EXACT locus_synonym; RELATED locus_synonym,LOC103655499 (tpzm:0004816); bhlh198 (tpzm:0009552); cgt2 (tpzm:0010543); gst23 (tpzm:0014562)
no,34,165,EXACT locus_synonym,LOC100276778 (tpzm:0003189)
leucine-rich repeat,34,59,EXACT locus_synonym,ebf2 (tpzm:0013038)
oxidoreductase,32,459,RELATED locus_synonym,GRMZM2G018082 (tpzm:0000434); GRMZM2G087312 (tpzm:0000726); LOC100286195 (tpzm:0003651); nyc1 (tpzm:0017803); pco099340a (tpzm:0018625); pco135548 (tpzm:0019106); proh6 (tpzm:0020435); proh8 (tpzm:0020437); proh9 (tpzm:0020438)
atpase,32,103,EXACT locus_synonym,IDP4334 (tpzm:0001752)
bam,31,84,EXACT locus_synonym,amyb2 (tpzm:0008994)
ai,31,50,EXACT locus_synonym,LOC103646190 (tpzm:0004530)
met,30,74,RELATED locus_synonym,mets3 (tpzm:0016243); sams3 (tpzm:0021632)
sra,30,36,EXACT locus_synonym,trpp9 (tpzm:0023253)
arf,29,126,EXACT locus_synonym,iaa48 (tpzm:0015243)
membrane protein,28,414,RELATED locus_synonym,Zm00001d005203 (tpzm:0005420); Zm00001d021231 (tpzm:0006004); caspl43 (tpzm:0010189); pco065335b (tpzm:0018147); pco124941 (tpzm:0018960); pco133450 (tpzm:0019070); pco133602 (tpzm:0019073); umc1748 (tpzm:0023822); umc2229 (tpzm:0024023)
ribosomal protein,26,213,RELATED description; RELATED locus_synonym,Zm00001d042772 (tpzm:0006814); Zm00001d049945 (tpzm:0007123); mta1 (tpzm:0016799)
bb,26,47,EXACT locus_synonym,GRMZM2G116520 (tpzm:0000829)
ubiquitin,26,35,EXACT locus_synonym,Zm00001eb381010 (tpzm:0008295)
histone h3,25,214,RELATED locus_synonym,LOC103638044 (tpzm:0004292); LOC103641629 (tpzm:0004391); LOC103646477 (tpzm:0004547); cl11215_-2b (tpzm:0010799); his303 (tpzm:0015031); his305 (tpzm:0015033); magi21275 (tpzm:0016007); uaz248a(his3) (tpzm:0023353)
methyltransferase,24,148,RELATED locus_synonym,GRMZM2G090156 (tpzm:0000735); LOC100382446 (tpzm:0003738); LOC100501202 (tpzm:0003838); Zm00001eb293590 (tpzm:0008086)
chloroplastic,24,65,EXACT locus_synonym,glx8 (tpzm:0014131)
tga,23,87,RELATED locus_synonym,bzip129 (tpzm:0009851); bzip27 (tpzm:0009875); obf3 (tpzm:0017816)
transcriptional activator,23,53,EXACT locus_synonym,pl1 (tpzm:0019797)
pod,22,1071,RELATED locus_synonym,TIDP2769 (tpzm:0005081); Zm00001d028347 (tpzm:0006290); prx11 (tpzm:0020491); prx26 (tpzm:0020518); prx39 (tpzm:0020530); prx7 (tpzm:0020561); prx8 (tpzm:0020569); prx87 (tpzm:0020577); px16 (tpzm:0020783)
g2,22,57,EXACT jschnable_name; EXACT locus; NAME (gene symbol),g2 (tpzm:0013759)
ap2/erf,21,62,EXACT locus_synonym,ereb218 (tpzm:0013306)
cytochrome p450,21,35,EXACT locus_name; EXACT locus_synonym,cyp6 (tpzm:0012544)
pal,20,264,RELATED locus_synonym,LOC103637472 (tpzm:0004277); Zm00001d027250 (tpzm:0006237); pal13 (tpzm:0017964); pal18 (tpzm:0017966)
d1,20,175,EXACT locus; NAME (gene symbol),d1 (tpzm:0012598)
pentatricopeptide repeat,20,37,EXACT locus_synonym,Zm00001eb226290 (tpzm:0007913)
cellulase,19,260,RELATED locus_synonym,cel15 (tpzm:0010472); cel16 (tpzm:0010473); cel20 (tpzm:0010478); cel22 (tpzm:0010480); cel24 (tpzm:0010481); cel26 (tpzm:0010483); cel29 (tpzm:0010484); cel3 (tpzm:0010485); cel4 (tpzm:0010488); cel6 (tpzm:0010490)
tb1,19,42,EXACT jschnable_name; EXACT locus; EXACT locus_synonym; NAME (gene symbol),tb1 (tpzm:0022861); tcptf15 (tpzm:0022937)
glu,19,37,EXACT locus_synonym,dhr2 (tpzm:0012736); eng1 (tpzm:0013147)
nr,19,31,EXACT locus_synonym,nnr2 (tpzm:0017571)
helicase,18,37,EXACT locus_synonym,Zm00001eb291790 (tpzm:0008079)
endonuclease,18,34,EXACT locus_synonym,Zm00001eb097540 (tpzm:0007563)
gt,18,22,EXACT locus_synonym,GRMZM2G078465 (tpzm:0000691)
c2h2,17,155,EXACT locus_synonym; RELATED locus_synonym,IDP8537 (tpzm:0002647); LOC118473385 (tpzm:0004969); Zm00001eb151570 (tpzm:0007699); Zm00001eb214230 (tpzm:0007880); cchh2 (tpzm:0010238); idd24 (tpzm:0015278)
gr,17,59,EXACT locus_synonym,Zm00001d008883 (tpzm:0005541)
rna binding,17,50,EXACT locus_synonym,Zm00001d005281 (tpzm:0005424)
glutathione s-transferase,17,39,EXACT locus_synonym; RELATED locus_synonym,Zm00001d022312 (tpzm:0006061); gst55 (tpzm:0014591); gst59 (tpzm:0014595)
cyclase,17,39,EXACT locus_synonym,IDP8341 (tpzm:0002571)
delta,17,31,EXACT locus_synonym,Zm00001eb441010 (tpzm:0008461)
receptor-like kinase,17,28,EXACT locus_synonym,IDP8237 (tpzm:0002537)
b1,16,124,EXACT jschnable_name; EXACT locus; NAME (gene symbol),b1 (tpzm:0009369)
della,16,89,EXACT locus_synonym,gras53 (tpzm:0014390)
sucrose synthase,16,68,RELATED locus_synonym,Zm00001eb313170 (tpzm:0008134); sus5 (tpzm:0022807)
alcohol dehydrogenase,16,63,RELATED locus_synonym,LOC103631145 (tpzm:0004062); cl9439_1 (tpzm:0012016); ts2 (tpzm:0023292)
dna repair,16,62,EXACT locus_synonym,Zm00001eb291800 (tpzm:0008080)
cellulose synthase,16,40,EXACT locus_synonym,thx43 (tpzm:0023063)
hsp,15,139,EXACT locus_synonym,dnaJ45 (tpzm:0012802)
gamma,15,105,RELATED locus_synonym,LOC103627333 (tpzm:0003941); Zm00001d018623 (tpzm:0005905); Zm00001eb183170 (tpzm:0007781)
pepc,15,79,EXACT locus_synonym; RELATED locus_synonym,pep1 (tpzm:0019439); pep2 (tpzm:0019440); pep6 (tpzm:0019444)
ribonucleoprotein,15,42,RELATED locus_synonym,Zm00001d018821 (tpzm:0005914); uaz7c01c01 (tpzm:0023366)
e3 ligase,15,42,EXACT locus_synonym,arm11 (tpzm:0009193)
bhlh transcription factor,15,30,EXACT locus_synonym,GRMZM2G138454 (tpzm:0000912)
